Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
48,2.0,0.0,0.0,2147.0,8.0,393.0,11570.0,0.1,370.737760000001,0.0,0.0,2669.0473670959473,,,,,,,,,,,,,,,,,,,,,161.9915999962967,90.2527068225239,307.69013377887967,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,2266.0,9.0,119.0,11689.0,0.1,105.36703999999996,0.0,0.0,2680.5374751091003,,,,,,,,,,,,,,,,,,,,,48.19432656695798,32.15303932543249,99.83147826358092,0.00064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,2447.0,10.0,181.0,11870.0,0.1,165.92495999999994,0.0,0.0,2698.278921365738,,,,,,,,,,,,,,,,,,,,,76.27697524883853,46.77555758190836,152.42352210063956,0.00064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,2885.0,11.0,438.0,12308.0,0.1,418.292000000001,0.0,0.0,2740.004416704178,,,,,,,,,,,,,,,,,,,,,177.2414970983532,102.8235746202423,341.3425680644829,0.00064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,3019.0,12.0,134.0,12442.0,0.1,116.25103999999989,0.0,0.0,2752.6768205165863,,,,,,,,,,,,,,,,,,,,,51.66918446158651,36.094418329712354,109.54635244067633,0.00064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,3917.0,13.0,898.0,13340.0,0.1,871.2895999999911,0.0,0.0,2838.584018468857,,,,,,,,,,,,,,,,,,,,,327.7890780261002,168.9654455151883,578.0906110640794,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,4831.0,14.0,914.0,14254.0,0.1,912.6507199999905,0.0,0.0,2926.313225030899,,,,,,,,,,,,,,,,,,,,,346.99799235739374,170.38932678631795,596.6873329639383,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,5729.0,15.0,898.0,15152.0,0.1,868.0115199999916,0.0,0.0,3012.742198705673,,,,,,,,,,,,,,,,,,,,,329.6289376383492,170.55184560696685,573.1504617738482,0.00064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,6621.0,16.0,892.0,16044.0,0.1,855.8620799999916,0.0,0.0,3097.8526544570923,,,,,,,,,,,,,,,,,,,,,314.6519077574353,167.14046874979184,576.3446913183133,0.6400000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,6968.0,17.0,347.0,16391.0,0.1,330.9660800000005,0.0,0.0,3131.3755819797516,,,,,,,,,,,,,,,,,,,,,147.47659688062203,85.7494026300366,280.3521247798592,0.00064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,6998.0,18.0,30.0,16421.0,0.1,17.365760000000012,0.0,0.0,3134.491175174713,,,,,,,,,,,,,,,,,,,,,6.601847207983947,6.050241123099155,17.20209156479851,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,7900.0,19.0,902.0,17323.0,0.1,905.3199999999905,0.0,0.0,3222.0648295879364,,,,,,,,,,,,,,,,,,,,,350.58864463994774,171.99294761575842,590.26899024627,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,7968.0,20.0,68.0,17391.0,0.1,49.73103999999997,0.0,0.0,3228.77175116539,,,,,,,,,,,,,,,,,,,,,21.21024752570275,16.23942424471168,48.38546571421494,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
